# ::id 057386-0003
# ::tok There was a change of ownership a couple of years ago and service is both quick and extremely friendly .
# ::alignments 3-1.1.3.2 4-1.1.4.1 5-1.1.4.2 7-1.1.5.1.2 8-1.1.5.2 9-1.1.5.3 10-1.1.5.4 11-1.2 12-1.3.1 14-1.3.3.2 15-1.3.3.1.1 16-1.3.3.1.2 17-1.3.3.1.3.1 18-1.3.3.1.3.2
# ::format ucca
(v1 / label
    :H (v2 / label
           :P (v5 / label
                  :C (v10 / label~e.3))
           :A (v6 / label
                  :R (v11 / label~e.4)
                  :S (v12 / label~e.5))
           :T (v7 / label
                  :Q (v13 / label
                          :C (v19 / label~e.7))
                  :R (v14 / label~e.8)
                  :C (v15 / label~e.9)
                  :R (v16 / label~e.10)))
    :L (v3 / label~e.11)
    :H (v4 / label
           :P (v8 / label~e.12)
           :D (v9 / label
                  :C (v17 / label
                          :C (v20 / label~e.15)
                          :N (v21 / label~e.16)
                          :C (v22 / label
                                  :E (v23 / label~e.17)
                                  :C (v24 / label~e.18)))
                  :Q (v18 / label~e.14))))
