# ::id 235423-0013
# ::tok The only thing that was edible was the steamed rice and the vegetable lo mein was barely tolerable .
# ::alignments 1-1.1.1.1.2 2-1.1.1.1.3 5-1.1.1.4 6-1.1.2 8-1.1.3.2.2 9-1.1.3.3 10-1.2 12-1.3.2.2 13-1.3.2.3 14-1.3.2.4 16-1.3.4 17-1.3.5
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v5 / label
                  :A (v11 / label
                          :E (v18 / label~e.1)
                          :C (v19 / label~e.2))
                  :S (v12 / label~e.5))
           :S (v6 / label~e.6)
           :A (v7 / label
                  :E (v13 / label
                          :A (v14 / label~e.9)
                          :P (v20 / label~e.8))
                  :C v14))
    :L (v3 / label~e.10)
    :H (v4 / label
           :A (v8 / label
                  :E (v15 / label~e.12)
                  :E (v16 / label~e.13)
                  :C (v17 / label~e.14))
           :D (v9 / label~e.16)
           :S (v10 / label~e.17)))
