# ::id 272836-0004
# ::tok It 's really cool that so many local businesses are found so quickly in one place and I want to spread the word .
# ::alignments 2-1.1.3 3-1.1.4 4-1.1.5.1 5-1.1.5.2.1.1 6-1.1.5.2.1.2 7-1.1.5.2.2 8-1.1.5.2.3 10-1.1.5.4 11-1.1.5.5.1 12-1.1.5.5.2 13-1.1.5.6.1 14-1.1.5.6.2 15-1.1.5.6.3 16-1.2 17-1.3.2 18-1.3.3 20-1.3.5 22-1.3.1.2
# ::format ucca
(v1 / label
    :H (v2 / label
           :D (v5 / label~e.2)
           :S (v6 / label~e.3)
           :A (v7 / label
                  :R (v12 / label~e.4)
                  :A (v13 / label
                          :Q (v18 / label
                                  :E (v26 / label~e.5)
                                  :C (v27 / label~e.6))
                          :E (v19 / label~e.7)
                          :C (v20 / label~e.8))
                  :P (v14 / label~e.10)
                  :D (v15 / label
                          :E (v21 / label~e.11)
                          :C (v22 / label~e.12))
                  :A (v16 / label
                          :R (v23 / label~e.13)
                          :Q (v24 / label~e.14)
                          :C (v25 / label~e.15))))
    :L (v3 / label~e.16)
    :H (v4 / label
           :A (v8 / label
                  :C (v17 / label~e.22))
           :A (v9 / label~e.17)
           :D (v10 / label~e.18)
           :P (v11 / label~e.20)))
